Book_title,price,shipping_price,book_quantity,cover_type,book_condition,Author,published_by,published_year,seller_name,seller_location,seller_rate,seller_country
Managing Projects Made Simple (Made Simple Books),1.38,8.01,1,Softcover,Good,"Nickson, David","Routledge,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Leading and Supporting Early Years Teams: A practical guide (David Fulton Books),1.38,8.01,2,Softcover,Good,"Price, Deborah","Routledge,",2014,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
What's in the Picture?: Responding to Illustrations in Picture Books,1.38,8.01,3,Softcover,Good,Unknown,"SAGE Publications Ltd,",1998,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Young Readers and Their Books,1.38,8.01,2,Softcover,Good,"Phinn, Gervase","David Fulton Publishers,",2000,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Barnaby/Brittany Little Book: Barnaby Plays Boules (Barnaby Bear Little Books),1.38,8.01,1,Softcover,Good,Liz Lewis,Geographical Association,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Barnaby's Trip to Dublin (Barnaby Bear Little Books),1.38,8.01,1,Softcover,Good,Liz Lewis,"Geographical Association,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Uncharted Journey: Promoting Democracy in the Middle East (Global Policy Books),1.38,8.01,1,Softcover,Good,"Carothers, Thomas","Carnegie Endowment for Int'l Peace,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Longman Book Project: Fiction: Band 1: Animal Books Cluster: Let's Go into the Jungle (Longman Book Project),1.38,8.01,1,Softcover,Good,Rod Campbell,"Longman,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Silly Jokes (Usborne Joke Books),1.38,8.01,1,Softcover,Good,"Smith, A.","Usborne Publishing Ltd,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Mega Machines (Young Telegraph Books),1.38,8.01,1,Softcover,Fair,Philippa Perry,"Two-Can Publishing Ltd,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Baby's Black and White Books Things That Go,1.38,8.01,1,Hardcover,Good,unknown author,Usborne Publishing Ltd,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
