Book_title,price,shipping_price,book_quantity,cover_type,book_condition,Author,published_by,published_year,seller_name,seller_location,seller_rate,seller_country
Understanding women (Pelican books),1.38,8.01,1,Softcover,Good,"Eichenbaum, Luise","Viking Penguin,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Longman Book Project: Non-fiction 2: Geography Books : Schools Around the World: School in a Valley (Longman Book Project),1.38,8.01,1,Softcover,Good,Bobby Neate,"SOS Free Stock,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Empty Suit of Armour (Dolphin Books),1.38,8.01,1,Softcover,Good,"Umansky, Kaye","Orion Children's Books,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Which Way, Jack?: All the World's a Stage (Literacy Links Chapter Books)",1.38,8.01,1,Softcover,As new,Kingscourt,"Shortland Publications,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Wines and Spirits (Mini Books),1.38,8.01,1,Softcover,Good,Pamela Vandyke Price,"Corgi Childrens,",1972,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
First 200 Words in Spanish (Little Library Green Books),1.38,8.01,1,Hardcover,Good,"Perez, Candi","Kingfisher Books,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Bug Books: Centipede (Heinemann First Library),1.38,8.01,1,Hardcover,Good,Karen Hartley,"Heinemann Educational Books - Library Division,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Grasshopper (First Nature Books),1.38,8.01,1,Hardcover,Fair,Gunilla Ingves,"A & C Black Publishers Ltd,",1983,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Attitudes toward other religions: Some Christian interpretations; (Forum books),1.38,8.01,1,Softcover,Good,"Thomas, Owen C","S.C.M. Press,",1969,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Bounce Bounce Bounce (Baby Bounce Books),1.38,8.01,1,Hardcover,Good,Kathy Henderson,"Walker Books,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Talking Books: Children's Authors Talk About the Craft, Creativity and Process of Writing",1.38,8.01,1,Softcover,Good,"Carter, James","Routledge,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Cycling (IMM Lifestyle Books) (Serious About Your Sport),1.38,8.01,1,Softcover,Good,Paul Cowcher,"IMM Lifestyle Books,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Not You Again!: Helping Children Improve Playtime and Lunchtime Behaviour (Lucky Duck Books),1.38,8.01,1,Softcover,Good,"Wallace, Fiona","Paul Chapman Educational Publishing,",1995,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
John Mortimer Plays (Longman Imprint Books),1.38,8.01,1,Softcover,Good,"Mortimer, John","Pearson Schools,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Cat and Dog (Zebra First Words Books),1.38,8.01,1,Softcover,Good,David Lloyd,"Walker Books Ltd,",1983,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Tougue Set Free (Picador Books),1.38,8.01,1,Softcover,Very good,Elias Canetti,"Pan Books,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Macmillan Childrens Books Whos Happy? An Interactive Lift the Flap Book for Toddlers (Felt Flaps Mirror Books - Camilla Reid).,1.38,8.01,1,Hardcover,Good,Camilla Reid,"Macmillan Children's Books,",2024,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Walker Books Ltd Spooky Little Halloween A Finger Wiggle Book (Finger Wiggle Books).,1.38,8.01,1,Hardcover,Good,Sally Symes,"Walker Books Ltd,",2023,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
PLAY EXPLORATION & LEARNING CL (Routledge Education Books),1.38,8.01,1,Hardcover,Good,Hutt,"Other,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Chicken House Books Winner Takes Gold.,1.38,8.01,1,Softcover,Good,Eloise Smith,"Chicken House Books,",2024,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Borrowers (Puffin Books),1.38,8.01,1,Softcover,Good,Mary Norton,"Puffin Books,",1992,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Early Years Care and Education in Europe (Child Care Topic Books),1.38,8.01,1,Softcover,Fair,Jennie Lindon,"Hodder Arnold H&S,",2000,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Confronting Change, Challenging Tradition: Woman in Latin American History (Jaguar Books on Latin America)",1.38,8.01,1,Softcover,Good,"Yeager, Gertrude M.","Rowman & Littlefield,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Titch (Red Fox Picture Books),1.38,8.01,2,Softcover,Good,"Hutchins, Pat","Red Fox,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Cultural Awareness (Resource Books for Teachers),1.38,8.01,3,Softcover,Good,"Tomalin, Barry","Oxford University Press,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Emotional Experience of Learning and Teaching (Routledge Education Books),1.38,8.01,1,Softcover,Good,Isca Salzberger-Wittenberg,"Routledge,",1993,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Old Man of the Sea (Lantana Global Picture Books),1.38,8.01,2,Hardcover,Good,"Elia, Stella","Lantana Publishing,",2019,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Whirly Birds: Set A Stage Eight (Literacy Links Picture Books),1.38,8.01,2,Softcover,Good,Judith Hodge,"Shortland Publications,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The World's Craziest Records (Edge Books. Library of Weird),1.38,8.01,1,Hardcover,Good,Suzanne Garbe,"Raintree,",2015,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Reading: The patterning of complex behaviour (Set books / Open University),1.43,8.01,1,Softcover,Good,Marie M. Clay,"Heinemann Educational,",1977,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Hot Key Books I Feed Her to the Beast and the Beast Is Me.,1.38,8.01,1,Softcover,Good,Jamison Shea,"Hot Key Books,",2023,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Trains: Set B Stage Eight (Literacy Links Picture Books),1.38,8.01,1,Softcover,Good,David Lowe,"Shortland Publications,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Against the Stream (Pyramid Books Barbara Cartland #68) [Paperback] Barbara Cartland,1,9,1,New - Softcover,New,Barbara Cartland,"Pyramid,",1977,Desoto Books,"Tampa, FL, U.S.A.",3, U.S.A.
Wonder Books Lot of 4,10,8.002703003,1,Hardcover,Good,"Crosby Newell, Jean Fritz, Marcia Martin, Jean Bethell","Wonder Books, New York,",1960,Gary and Laura Maurer Collectibles,"Chicago, IL, U.S.A.",2, U.S.A.
"Brand-new Pencisl, Brand-new Books",1,9,1,Softcover,Good,Diane de Groat,"Scholastic,",2005,Direct Link Marketing,"Pine hill, NY, U.S.A.",1, U.S.A.
Civil War Quiz and Fact Books,1,9,1,Softcover,Good,Rkd Gragg,"Perrenial Library, New York, NY,",1985,Direct Link Marketing,"Pine hill, NY, U.S.A.",1, U.S.A.
"Focus on meaning;: Talking to some purpose with young children (Unwin education books, 17)",1.38,8.01,1,Hardcover,Good,"Tough, Joan","Allen and Unwin,",1973,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
I am Mary Dunne (Panther Books),1.38,8.01,1,Softcover,Good,Brian Moore,"Granada,",1982,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Barnaby/Seaside Little Book: Where Is Barnaby's Castle? (Seaside Little Books),1.44,8.01,1,Softcover,Good,Liz Lewis,Geographical Association,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Barnaby/Seaside Little Book: Playing with Clay (Seaside Little Books),1.44,8.01,1,Softcover,Good,Liz Lewis,The Geographical Association,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Barnaby/Brittany Little Book: Are We Nearly There Yet? (Barnaby Bear Little Books),1.44,8.01,1,Softcover,Good,Liz Lewis,"Geographical Association,",2008,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Huggly Gets Dressed (Picture Books),1.38,8.01,1,Hardcover,Good,Tedd Arnold,"Hodder Wayland,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Flower (Ecology Story Books),1.55,8.01,1,Softcover,Good,"Baines, Chris","Frances Lincoln Publishers Ltd,",2000,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Radio Trap (Young Puffin Books),1.62,8.01,1,Softcover,Good,John Escott,"Puffin UK,",1991,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Campbell Books Ltd Busy Boats (Campbell Busy Books).,1.58,8.01,1,Hardcover,Good,Campbell Books,"Campbell Books Ltd,",2024,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Philosophy (Teach yourself books),4.83,5.48,1,Softcover,Good,Mel R. Thompson,Teach Yourself,1996,Tatton Park Charitable Trust,"Knutsford, United Kingdom",4, United Kingdom
Jazz (Teach yourself books),4.83,5.48,1,Softcover,Good,"Chilton, John","Hodder and Stoughton,",1979,Tatton Park Charitable Trust,"Knutsford, United Kingdom",4, United Kingdom
Warlock Watson (Andre Deutsch Children's Books),1.7,8.01,1,Softcover,Good,Dick King-Smith,"Scholastic,",1995,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"Story S-t-r-e-t-c-h-e-r-sÂ® for Infants, Toddlers, and Twos: Experiences, Activities, and Games for Popular Children's Books",1.26,9,1,Softcover,Very good,Shirley Raines,"Gryphon House,",2002,bunnirific,"Guilderland, NY, U.S.A.",4, U.S.A.
Rain & Shine: A Flip-Flap Book of Weather (Flip-Flap Books),1.74,8.01,1,Hardcover,Good,Molly Littleboy,"Little Tiger Press,",2023,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
WALKER BOOKS Maisy Loves Birds A Maisys Planet Book.,1.74,8.01,1,Hardcover,Good,Lucy Cousins,"Walker Books Ltd,",2024,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Once When I Was Shipwrecked: Set C Stage Eight (Literacy Links Picture Books),1.93,8.01,1,Softcover,Good,Judith Womersley,"Mimosa Publications,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
How to Pass Spoken English for Industry and Commerce. LCCIEB Examination Preparation Books / Intermediate Level. Students Book.,2.39,8.12,1,Softcover,deutliche Gebrauchsspuren,"Mellor, Robert G","Logophon,",2000,Versandantiquariat Jena,"Jena, Germany",5, United Kingdom
Media Texts: Authors and Readers (Open University Books),1.93,8.01,7,Softcover,Good,"Graddol, David","Multilingual Matters,",1993,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
"The Fate of ""Culture"": Geertz and Beyond (Representations Books) (Volume 8)",1.99,8.01,1,Softcover,Good,"Ortner, Sherry B.","University of California Press,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Icon Books Corrections in Ink.,2.19,8.01,1,Softcover,As new,unknown author,Icon Books,1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
The Go-ahead Gang (Antelope Books),1.94,8.01,1,Hardcover,Good,Robert Swindells,"Hamish Hamilton Ltd,",1992,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Alighiero e Boetti: Mappa (Afterall Books / One Work),2.05,8.01,1,Softcover,Good,"Cerizza, Luca","Afterall Books,",2008,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",5, United Kingdom
Who Ever Heard of a Vegetarian Fox? (Puffin Books),3.09,8.03,1,Softcover,Good,"Rosalind, Kerven","Puffin,",1990,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Thorn Ogres of Hagwood (The Hagwood Books),3.09,8.03,1,Softcover,Good,"Jarvis, Robin","Puffin Books,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Mallaig Railway (Northern Books),3.09,8.03,1,Softcover,Very good,Unknown,"Famedram Publishers Ltd,",1988,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Oriental Flower Designs (Design Source Books),5.51,5.48,1,Softcover,Near fine,"Pinder, Polly","Search Press,",2004,Lomond Sales,"Helensburgh, ARGYL, United Kingdom",5, United Kingdom
Collins' Phrase Books: Italian,5.51,5.48,1,Hardcover,Very good,"edited by Isopel May, general editor G.F. Maine","Collins, London,",1961,BettsBooksWales,"Aberystwyth, CERED, United Kingdom",4, United Kingdom
Secret Britain: The Best of Britain's Hidden Gems (IMM Lifestyle Books),2.22,8.5,1,Softcover,Fine,Tom Quinn,"IMM Lifestyle,",2015,Chow Inc.,"Kingston, ON, Canada",4, Canada
World's Shortest Books,3.09,8.03,1,Softcover,Good,"Frost, David","Fontana Press,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
History of Britain Topic Books: Victorian Children Paperback,3.09,8.03,1,Softcover,Very good,"Shuter, Jane","Heinemann Library,",1995,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Rick Stein Starters (Gift Books),3.09,8.03,2,Hardcover,Very good,"Stein, Rick","BBC Books,",2004,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Art Nouveau Designs (Design Source Books),5.51,5.48,1,Softcover,As new,"Balchin, Judy","Search Press,",2001,Lomond Sales,"Helensburgh, ARGYL, United Kingdom",5, United Kingdom
Latter End (Coronet Books),3.09,8.03,1,Softcover,Very good,"Wentworth, Patricia","Coronet Books,",1979,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Rick Stein Starters (Gift Books),3.09,8.03,1,Hardcover,Good,"Stein, Rick","BBC Books,",2004,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Five Have Plenty of Fun (Knight Books),3.09,8.03,1,Softcover,Good,"Blyton, Enid","Knight,",1976,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Age of Dinosaurs (Kingfisher explorer books),3.09,8.03,1,Softcover,Good,"Lambert, David","Kingfisher Books Ltd,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Empty Suit of Armour (Dolphin Books),3.09,8.03,1,Softcover,Good,"Umansky, Kaye","Orion Childrens Books,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Vegetarian Cookery (Rainbow Books),3.09,8.03,1,Hardcover,Good,"Duff, Gail","Thorsons,",1985,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Ragdolly Anna's Circus (Young Puffin Books),3.09,8.03,1,Softcover,Good,"Kenward, Jean","Puffin Books,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Fairy Magic (Picture Flats Portrait - Igloo Books Ltd),3.09,8.03,1,Softcover,As new,Igloo Books,"Igloo Books,",2014,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Puzzle Book What in the World: Brain-tickling quizzes, sudokus, crosswords and wordsearches (National Geographic Kids Puzzle Books)",3.09,8.03,1,Softcover,Good,National Geographic Kids,"Collins,",2018,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Down Stepney Way (Coronet books),3.09,8.03,1,Softcover,Good,"Worboyes, Sally","Hodder Paperbacks,",2000,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Ancient Egypt (Eyewitness Project Books),3.09,8.03,1,Softcover,Good,Dorling Kindersley,"DK Children,",2009,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Telling the Time (Learning to Read Books),3.09,8.03,1,Hardcover,Good,"Bradbury, Lynne","Ladybird Books Ltd,",1976,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Survivors: Book Two: The Mystery of Ireta Series (Orbit Books),3.09,8.03,1,Softcover,Good,"McCaffrey, Anne","Orbit,",1984,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Dennis the Menace: A Mission to Menace! (Beano Books),3.09,8.03,1,Softcover,Good,Rachel Elliot,"Meadowside Childrens Books,",2005,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Five Go Adventuring Again (Knight Books),3.09,8.03,1,Softcover,Good,"Blyton, Enid","Knight,",1978,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
E.S.P.: Eric Stanley Pigeon (Young Corgi Books),3.09,8.03,1,Softcover,Good,"King-Smith, Dick","Young Corgi,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Holiday Boredom Buster (Buster Backpack Books),3.09,8.03,1,Softcover,Good,"Campbell, Guy","Buster Books,",2018,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Bridget and William (Young Puffin Books),3.09,8.03,1,Softcover,Good,"Gardam, Jane","Puffin Books,",1984,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Big Nelly (Picture Flats - Igloo Books Ltd),3.09,8.03,2,Softcover,Good,Igloo Books,"Igloo Books,",2014,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
High-fibre Cookery (Rainbow Books),3.09,8.03,1,Softcover,Good,"Duff, Gail","Thorsons,",1984,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Hagar the Horrible Leads the Way (Hagar Pocket Books),3.09,8.03,1,Softcover,Very good,"Browne, Dik","Attica,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
On the Run (Puffin Books),3.09,8.03,1,Softcover,Good,"Bawden, Nina","Puffin Books,",1967,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Goodnight Everyone: Bonne Nuit a Tous (Language Learning Story Books: I can read French),3.09,8.03,1,Softcover,Good,"Morton, Lone","b small publishing limited,",2009,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Charlie and the Great Glass Elevator (Puffin Story Books),3.09,8.03,2,Softcover,Good,"Dahl, Roald","Puffin Books,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Snow Kitten (Young Puffin Books),3.09,8.03,1,Softcover,Good,Nina Warner Hooke,"Puffin Books,",1985,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Uninvited Ghosts and Other Stories (Puffin Story Books),3.09,8.03,1,Softcover,Good,"Lively, Penelope","Puffin Books,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
A Hodgeheg Story: King Max the Last (Young Puffin story books),3.09,8.03,1,Softcover,Good,"King-Smith, Dick","Puffin Books,",1996,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Nurse Matilda Goes to Town (Knight Books),3.09,8.03,1,Softcover,Fair,"Brand, Christianna","Knight,",1991,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Grab and Let Go (Little Baby Books),3.09,8.03,1,Softcover,Good,"Featherstone, Sally and Beswick, Clare","Featherstone Education Ltd,",2003,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Story of the Dancing Frog (Red Fox picture books),3.09,8.03,1,Softcover,Good,"Blake, Quentin","Red Fox,",1996,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
First Term at Trebizon (Puffin Books),3.09,8.03,1,Softcover,Good,"Digby, Anne","Straw Hat,",1988,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Poems for Nine Year Olds and Under (Puffin Books),3.09,8.03,1,Softcover,Good,"Wright, Kit","Puffin Books,",1985,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Witchs Daughter (Puffin Books),3.09,8.03,1,Softcover,Good,"Bawden, Nina","Puffin Books,",1973,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Chatterton (Abacus Books),3.09,8.03,1,Softcover,Good,"Ackroyd, Peter","Abacus,",1988,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Henrys Leg (Puffin Story Books),3.09,8.03,1,Softcover,Good,"Pilling, Ann","Puffin Books,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Parragon Books Ltd Underpants Thunderpants,3.09,8.03,1,Softcover,Good,Unknown,"Parragon Books Ltd,",2015,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Third Year at Malory Towers (The Dragon Books),3.09,8.03,1,Softcover,Good,"Blyton, Enid","Collins,",1967,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Teenage Vegetarian Survival Guide (Red Fox young adult books),3.09,8.03,1,Softcover,Good,"Jones, Ruth","Red Fox,",1992,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Charlie and the Chocolate Factory: A Play (Puffin Books),3.09,8.03,1,Softcover,Good,"Dahl, Roald","Puffin,",1979,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Use Your Memory (Ariel Books),3.09,8.03,1,Softcover,Very good,"Buzan, Tony","Crown Publications,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Railway Cats Secret (Story Books),3.09,8.03,1,Softcover,Good,"Arkle, Phyllis","Hodder Childrens Books,",1996,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Energy: Use Less, Save More (Green Books Guides)",3.09,8.03,1,Softcover,Good,Jon Clift,"Green Books,",2006,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Disappearing Cat (Young Puffin Books),3.09,8.03,1,Softcover,Good,"Lambert, Thelma","Puffin Books,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Use Your Memory (Ariel Books),3.09,8.03,1,Softcover,Fair,"Buzan, Tony","Crown Publications,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
"Smile, Baby, Smile (Picture Books)",3.09,8.03,2,Softcover,Good,Moira Butterfield,"Parragon Book Service Ltd,",2011,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Wind in the Willows (Puffin Books),3.09,8.03,1,Softcover,Fair,"Grahame, Kenneth","Puffin Books,",1983,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Proud Rooster and the Fox (Red Fox picture books),3.09,8.03,1,Softcover,Good,"Threadgall, Colin","Red Fox,",1993,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Squishy Squashy Dinosaur (Squishy Squashy Books),3.09,8.03,1,Hardcover,Fair,"That, Imagine and Copper, Jenny","Imagine That Publishing,",2019,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Knights and Castles (Kingfisher explorer books),3.09,8.03,1,Softcover,Fair,"Rutland, Jonathan","Kingfisher Books Ltd,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Adventurous Four Again (Beaver Books),3.09,8.03,1,Softcover,Fair,"Blyton, Enid","Red Fox,",1986,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Magic Key: Giant and the Knee Nibblers (The magic key story books),3.09,8.03,1,Softcover,Good,"Mongredien, Sue","Oxford University Press,",2001,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Poems for 7 Year Olds and Under (Puffin Books),3.09,8.03,1,Softcover,Fair,Nicoll,"Puffin Books,",1984,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Lightning Lucy (Puffin Books),3.09,8.03,1,Softcover,Good,"Strong, Jeremy","Puffin Books,",1993,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Telling the Time (My First Learning Books),3.09,8.03,1,Hardcover,Good,"Bradbury, Lynne","Ladybird Books Ltd,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Dead Letter Box (Young Puffin Books),3.09,8.03,1,Softcover,Good,"Mark, Jan","Puffin Books,",1983,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
The Pistachio Prescription (Piccolo Books),3.09,8.03,1,Softcover,Good,"Danziger, Paula","Macmillan Children's Books,",1987,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Farewell the Tranquil Mind (Coronet Books),3.09,8.03,1,Softcover,Good,"Delderfield, R. F.","Hodder and Stoughton Ltd,",1967,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Ultimate Football Quiz (Ultimate Quiz Books),3.09,8.03,1,Hardcover,Good,Not Stated,"Lagoon Books,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
So You Want to Go to Drama School? (Nick Hern Books),3.09,8.03,2,Softcover,Good,Helen Freeman,"Nick Hern Books,",2010,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Utz (Picador Books),3.09,8.03,1,Softcover,Good,"Chatwin, Bruce","Picador,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Oh Dear! (Piper Picture Books),3.09,8.03,1,Softcover,Good,"Campbell, Rod","Macmillan Childrens Books,",1989,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Read with Me: My Bedtime Storybook (Padded Board Books),3.09,8.03,1,Hardcover,Good,Igloo Books Ltd,"Igloo Books Ltd,",2013,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Dilly and the Goody-Goody: Blue Banana (Banana Books),3.09,8.03,1,Softcover,Very good,"Bradman, Tony","Egmont,",2011,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Cimru the Seal (Picture Puffin Story Books),3.09,8.03,1,Softcover,Good,"Radcliffe, Theresa","Puffin Books,",1997,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Maths Together: How Many? (Yellow Books Age 3+): Yellow Set,3.09,8.03,1,Softcover,Good,"Walton, Rick","Walker Books Ltd,",1999,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
An Enemy at Green Knowe (Puffin Books),3.09,8.03,1,Softcover,Good,"Boston, L. M.","Puffin Books,",1977,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
First Picture Book : Animals (First Picture Books),3.09,8.03,1,Hardcover,Good,Mike Nicholls,"Ladybird Books Ltd,",1983,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Mrs. Pepperpot to the Rescue - and other stories (Young Puffin Books),3.09,8.03,1,Softcover,Very good,Alf Proysen,"Puffin Books,",1969,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
Little Red Hen: An Old Story (Red Fox picture books),3.09,8.03,1,Softcover,Very good,"Zemach, Margot","Red Fox,",1994,Reuseabook,"Gloucester, GLOS, United Kingdom",5, United Kingdom
